Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
3.635,9.43559460407439,24.1609715071257,0.969363428601619,-0.0966255888842458,0.0053946997710125,0.132311741374332,3
3.64,9.44336889393233,24.1737996175556,0.972782984743556,-0.0965986253969357,0.00539066826911986,0.132272909490552,3
3.645,9.45109947451287,24.186654115752,0.972782984743556,-0.0965716521306177,0.00539866536046514,0.132238672464059,3
3.65,9.45883024488892,24.1995084998053,0.976200519940004,-0.0965446384738018,0.00540682511014872,0.132204435437566,3
3.655,9.46651724611085,24.212389105855,0.976200519940004,-0.0965176217234018,0.00539983520307941,0.132164425158784,3
3.66,9.47420446957998,24.2252695792675,0.979616273344254,-0.0964906405189801,0.00539260615016357,0.132124414880002,3
3.665,9.48184786739444,24.2381761074547,0.979616273344254,-0.096463679291457,0.00539187388518643,0.132086944920064,3
3.67,9.48949147376122,24.2510825121324,0.983029944524802,-0.0964367218897554,0.00539107575874517,0.132049474960127,3
3.675,9.49709117332255,24.2640148192186,0.983029944524802,-0.0964097376183254,0.00540267725414914,0.132016703862098,3
3.68,9.50469105564506,24.2769470189032,0.986441665709856,-0.0963826946749582,0.0054145454671969,0.131983932764069,3
3.685,9.5122469722242,24.2899049556465,0.986441665709856,-0.0963556303215766,0.00541117309226967,0.131945314254385,3
3.69,9.51980310459878,24.3028627665547,0.989851681454878,-0.0963285831713703,0.00540766392104804,0.1319066957447,3
3.695,9.52731521630893,24.3158461473798,0.989851681454878,-0.0963015381131591,0.00541036429280399,0.131870470038739,3
3.7,9.53482753083856,24.3288294108526,0.993259687477966,-0.0962744794796659,0.00541309424859705,0.131834244332778,3
3.705,9.54229574480714,24.3418380918047,0.993259687477966,-0.0962473760555483,0.00542833637403853,0.1318027233074,3
3.71,9.54976413559656,24.3548466712435,0.996665808324263,-0.0962201955089904,0.00544394445254367,0.131771202282023,3
3.715,9.55718836832143,24.3678805029303,0.996665808324263,-0.0961929754720515,0.00544406310207098,0.131733701976076,3
3.72,9.56461281181247,24.3809142145599,1.00007028884208,-0.0961657549502236,0.00544413841410714,0.131696201670129,3
