Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
14.89,6.9456802758432,34.1142493587435,1.75872527439622,-0.692536223540684,1.87226623797997,1.2543518642522,1.95386400475882,7.02566936987934,33.9184628265846,15.5725666931573,1.936073933483,2.15251319150021,1.25413453961225,2,-0.745630630767165
14.9,6.90109378599987,34.0893955075485,1.93645658768419,-0.673520210947255,1.83902109578258,1.24691898927876,1.94649391312616,6.89016008218932,34.0651002263308,15.1620564628058,1.90062107687425,2.13976207173954,1.24670526123489,2,-0.7429278377355
14.91,6.88421253479431,34.1037749403305,1.95785787668772,-0.65517501652724,1.80775435845419,1.2395854065368,1.946971519145,6.89016008218932,34.0651002263308,14.7588797299813,1.86755528787691,2.12719578236006,1.23938367193742,2,-0.732158929747736
14.92,6.86708349067562,34.1178178347502,1.97913329694994,-0.636768405158874,1.7783235822818,1.23226689571575,1.94744486195711,6.89016008218932,34.0651002263308,14.3626482491399,1.83578644667383,2.11463745648182,1.23206672247304,2,-0.731694946437311
14.93,6.84971492391305,34.1315222545,2.00028310715529,-0.618515375510569,1.7503193305523,1.22492685195882,1.94791397961673,6.89016008218932,34.0651002263308,13.9731080961753,1.80510442606938,2.1020459058958,1.22473041505362,2,-0.733630741942372
14.94,6.83211532063487,34.1448866002654,2.02130693772676,-0.6005101381778,1.72352522504041,1.2175570866584,1.94837890983842,6.89016008218932,34.0651002263308,13.5900301063153,1.77547846819821,2.08940884907051,1.21736759400044,2,-0.736282105318327
14.95,6.81429315795491,34.1579095343468,2.04220427854354,-0.582736190116043,1.69781011470737,1.21014733625004,1.94883969000009,6.89016008218932,34.0651002263308,13.2131971664543,1.74682982445864,2.07670513722439,1.20996593724385,2,-0.740165675658312
14.96,6.79625691367388,34.1705899915198,2.06297444332779,-0.565224701844302,1.67309300478619,1.20269521413559,1.949296357146,6.89016008218932,34.0651002263308,12.8423980490606,1.71917658829339,2.06393077543205,1.20252311719121,2,-0.744282005264563
14.97,6.77801500059673,34.182927151963,2.08361670483971,-0.54795855635375,1.64933371486321,1.19519629305473,1.94974894798975,6.89016008218932,34.0651002263308,12.4774210754092,1.6925067253878,2.05107639713165,1.19503367653392,2,-0.748944065728857
14.98,6.75957577584061,34.1949204469021,2.10413025985294,-0.530908507134349,1.62649069805118,1.18764128932951,1.95019749891722,6.89016008218932,34.0651002263308,12.1180614917337,1.66677016323582,2.03812511509529,1.1874877761426,2,-0.754590039131937
14.99,6.74094757042248,34.2065695785345,2.12451414580223,-0.514099537119923,1.60453865450918,1.18002844641235,1.95064204598952,6.89016008218932,34.0651002263308,11.7641164110443,1.64199451059158,2.0250752619516,1.17988444454445,2,-0.760333159814845
15,6.72489643955463,34.1950095865287,2.18479799666756,-0.497511170595463,1.5834724870501,1.17235367012311,1.94651686544521,6.72830053978246,34.1820559005276,11.4153808541939,1.61817390139054,2.01191866313414,1.1722189189319,2,-0.766552561255211
15.01,6.70551778486527,34.2051647288681,2.20491949607881,-0.481231998578516,1.56334156031596,1.16463437935947,1.94699426658706,6.72830053978246,34.1820559005276,11.0716292594195,1.59549281795776,1.9986880823314,1.16451028865295,2,-0.770863027895249
15.02,6.68598888332201,34.2149707254413,2.22490850671256,-0.465066801488618,1.54416226035977,1.15684709400082,1.94746740635096,6.72830053978246,34.1820559005276,10.7326400004483,1.57375700498099,1.98533518597153,1.15673039276432,2,-0.777989588862934
15.03,6.66631765718086,34.2244285493893,2.24476386155475,-0.449046806794062,1.52586253416147,1.14897669068167,1.94793632277482,6.72830053978246,34.1820559005276,10.3982177659765,1.55290587016306,1.97183925147102,1.14886715751527,2,-0.786323524904472
15.04,6.64651199933313,34.2335394678182,2.26448413402395,-0.433212354704225,1.50840868059709,1.14102030734338,1.94840105355702,6.72830053978246,34.1820559005276,10.0681711664955,1.53295760070346,1.95819709712064,1.14091872912325,2,-0.794842839202587
15.05,6.62657968423611,34.2423049820921,2.28406784841623,-0.417547309709493,1.49179320698068,1.13297347983821,1.94886163605943,6.72830053978246,34.1820559005276,9.74230787036724,1.5139047862293,1.94439964817614,1.13287982030347,2,-0.803890881977972
15.06,6.60652837255596,34.2507268330371,2.30351345240802,-0.402022041067672,1.475998767705,1.12482671921004,1.94931810731043,6.72830053978246,34.1820559005276,9.42044083620488,1.49570812677236,1.93042979306174,1.12474046121312,2,-0.813935909035052
15.07,6.58636563698132,34.2588070270775,2.32281923081358,-0.386661108532059,1.46101217011468,1.11657780145733,1.94977050400786,6.72830053978246,34.1820559005276,9.10238440751005,1.47838913074928,1.91628518009704,1.11649928167539,2,-0.824117953772908
15.08,6.56609890952593,34.2665477954866,2.34198343027591,-0.371444197386026,1.44683559542563,1.10822206339685,1.95021886252202,6.72830053978246,34.1820559005276,8.78795141948143,1.46194261503012,1.90195674510036,1.10815100055967,2,-0.834828111571435
15.09,6.54573549116283,34.2739516041712,2.36100421740224,-0.356340523762013,1.4334580865868,1.09974972346218,1.95066321889851,6.72830053978246,34.1820559005276,8.47695935394992,1.44633314725609,1.8874271021693,1.09968548819021,2,-0.846551236946157
15.1,6.53973366147913,34.2732931479959,2.36051929350768,-0.341374269658643,1.42086955938379,1.09115823717394,1.94767195973416,6.54790708539312,34.2678629606991,8.1692267991961,1.43158102220914,1.87269346683559,1.09110112223184,2,-0.858436595836983
15.11,6.51935695501119,34.2804035656803,2.37924720845895,-0.326475779101369,1.40905528529309,1.08243175048083,1.94813905027367,6.54790708539312,34.2678629606991,7.86457920397829,1.41761079940826,1.85772612744471,1.08238059156549,2,-0.872053066634831
15.12,6.49889863486471,34.2871881416386,2.39782534779103,-0.311722506263621,1.39799868566934,1.07357304889579,1.94860197146972,6.54790708539312,34.2678629606991,7.56284207506033,1.40448469242492,1.84253383247447,1.07352899338092,2,-0.885159818457596
15.13,6.47836550243414,34.2936501692583,2.41625144225536,-0.297056838027465,1.38771345735888,1.06457444403581,1.94906076053871,6.54790708539312,34.2678629606991,7.26383784599089,1.39217751730427,1.82710012760334,1.06453674077615,2,-0.899225260477017
15.14,6.4577642196338,34.2997931873259,2.43452309064509,-0.282496017514788,1.3781984924423,1.05543327461287,1.94951545436483,6.54790708539312,34.2678629606991,6.96738894560306,1.38071010558923,1.81142191840944,1.05540203082548,2,-0.91347099506642
15.15,6.43710127452554,34.3056209462657,2.45263784607679,-0.26801791721439,1.36946272721795,1.04614408038976,1.94996608950304,6.54790708539312,34.2678629606991,6.67331604809525,1.37008037281886,1.79548898300318,1.04611890787446,2,-0.928312295102508
15.16,6.41638299190465,34.3111374213617,2.47059316795115,-0.253610095054153,1.36150794047724,1.03670037528555,1.950412702182,6.54790708539312,34.2678629606991,6.38144044702402,1.36028490191142,1.77929027883826,1.03668093812337,2,-0.943796975108534
15.17,6.39561553334152,34.3163468164176,2.48838640434607,-0.23924383279153,1.35432816357693,1.02709128702622,1.95085532830697,6.54790708539312,34.2678629606991,6.09158691014571,1.35129734178684,1.76280669321577,1.02707698580036,2,-0.960395232301144
15.18,6.37480491427493,34.321253590864,2.50601471673496,-0.22494379220445,1.34791630380364,1.01731323537937,1.95129400346275,6.54790708539312,34.2678629606991,5.80358045676971,1.34313690258211,1.74603367254629,1.01730439781424,2,-0.977258798612063
15.19,6.35395695991504,34.325862410192,2.52347520514252,-0.210689860169958,1.34228007946742,1.00736019633063,1.95172876291646,6.54790708539312,34.2678629606991,5.51724429757001,1.3358035107472,1.72895986370953,1.00735655941331,2,-0.994783840093012
15.2,6.34796686681721,34.3274520521745,2.51426009665882,-0.196470165381674,1.33742198483865,0.997225135453365,1.94916293497183,6.35632219279132,34.3246919719178,5.23240175622325,1.32929643497388,1.71157317386493,0.997226424857228,2,-1.01301345560826
15.21,6.32719933497035,34.3320148692964,2.531375806267,-0.182188520239338,1.33332152194391,0.98688178043304,1.94961671676855,6.35632219279132,34.3246919719178,4.9488877473739,1.32351992047426,1.69382589579321,0.986886198139114,2,-1.0340226718114
15.22,6.30640353317279,34.3362964046153,2.54831398940236,-0.167991337413727,1.32994974599875,0.976337763305971,1.95006644801832,6.35632219279132,34.3246919719178,4.66653531377724,1.31856484409098,1.67573818606438,0.9763476232291,2,-1.05385749100135
15.23,6.28558469221853,34.3403020961256,2.56507120203383,-0.153818735735222,1.32734576905164,0.965589957123039,1.95051216487712,6.35632219279132,34.3246919719178,4.38516787739985,1.31444014637573,1.65729989930437,0.965604789053535,2,-1.07428341755652
15.24,6.26474783221108,34.3440375744726,2.58164394646148,-0.139648519206044,1.32552381638111,0.9546310965832,1.95095390317821,6.35632219279132,34.3246919719178,4.10460757676767,1.31114968797684,1.63849841656894,0.954650343344431,2,-1.09544457091045
15.25,6.24389777838389,34.347508687165,2.59802860028854,-0.125449191035521,1.32448745842324,0.943449004196496,1.95139169843499,6.35632219279132,34.3246919719178,3.82467810587542,1.30867790779047,1.61931254948359,0.943471940963826,2,-1.11784023806043
15.26,6.22303917846683,34.3507215314328,2.61422133211195,-0.111244252949403,1.32423558846815,0.932038662614622,1.95182558584387,6.35632219279132,34.3246919719178,3.54520205163434,1.3070459982705,1.5997354041185,0.932065565250858,2,-1.14063757129682
15.27,6.20217646591856,34.353682401602,2.63021822441416,-0.0970129514772658,1.32478157771268,0.920392573766855,1.95225560028707,6.35632219279132,34.3246919719178,3.26599936746825,1.30625963773602,1.5797531565827,0.920423161890596,2,-1.16424033602618
